date,datatype,station,attributes,value
2022-12-20T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",29.0
2022-12-20T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",21.0
2022-12-20T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",35.0
2022-12-20T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",23.0
2022-12-20T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",34.0
2022-12-20T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",22.0
2022-12-21T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",32.0
2022-12-21T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",24.0
2022-12-21T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",33.0
2022-12-21T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",25.0
2022-12-21T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",32.0
2022-12-21T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",26.0
2022-12-22T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",35.0
2022-12-22T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",18.0
2022-12-22T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",36.0
2022-12-22T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",16.0
2022-12-22T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",35.0
2022-12-22T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",11.0
2022-12-23T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",19.0
2022-12-23T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",1.0
2022-12-23T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",34.0
2022-12-23T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",-11.0
2022-12-23T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",12.0
2022-12-23T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",2.0
2022-12-24T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",13.0
2022-12-24T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",2.0
2022-12-24T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",7.0
2022-12-24T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",-3.0
2022-12-24T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",18.0
2022-12-24T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",2.0
2022-12-25T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",16.0
2022-12-25T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",2.0
2022-12-25T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",11.0
2022-12-25T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",0.0
2022-12-25T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",21.0
2022-12-25T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",15.0
2022-12-26T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",21.0
2022-12-26T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",10.0
2022-12-26T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",20.0
2022-12-26T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",-6.0
2022-12-26T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",23.0
2022-12-26T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",15.0
2022-12-27T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",24.0
2022-12-27T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",13.0
2022-12-27T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",23.0
2022-12-27T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",10.0
2022-12-27T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",28.0
2022-12-27T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",16.0
2022-12-28T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",42.0
2022-12-28T00:00:00,TMIN,GHCND:USC00200710,",S,7,1600",2.0
2022-12-28T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",42.0
2022-12-28T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",11.0
2022-12-28T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",46.0
2022-12-28T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",27.0
2022-12-29T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",51.0
2022-12-29T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",42.0
2022-12-29T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",53.0
2022-12-29T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",40.0
2022-12-29T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",56.0
2022-12-29T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",43.0
2022-12-30T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",56.0
2022-12-30T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",41.0
2022-12-30T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",56.0
2022-12-30T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",40.0
2022-12-30T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",57.0
2022-12-30T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",38.0
2022-12-31T00:00:00,TMAX,GHCND:USC00200710,",,7,1600",47.0
2022-12-31T00:00:00,TMIN,GHCND:USC00200710,",,7,1600",36.0
2022-12-31T00:00:00,TMAX,GHCND:USC00205892,",,7,1500",46.0
2022-12-31T00:00:00,TMIN,GHCND:USC00205892,",,7,1500",35.0
2022-12-31T00:00:00,TMAX,GHCND:USW00094871,",,W,2400",39.0
2022-12-31T00:00:00,TMIN,GHCND:USW00094871,",,W,2400",34.0
